mot,frequence,categorie_suggestion (à remplir)
"damaged",46,
"douche",46,
"stand",46,
"warrior",46,
"577 calibre",46,
"chalk",46,
"highway",46,
"uaz-469",46,
"breathy",45,
"producing",45,
"grasp",45,
"laptop",45,
"bassy",45,
"warning",45,
"effort",45,
"hedge",45,
"weather sphere",45,
"dust",45,
"glassy",45,
"darkness",45,
"electrified",45,
"moaning",45,
"whispering",45,
"cleaner",45,
"very long",45,
"wide a/b cardioid",45,
"pitch rising",45,
"shoe",45,
"ingest",45,
"lighter",45,
"appear",45,
"thicket",45,
"fast pace",45,
"laughter",45,
"cheeky",45,
"tones",44,
"triple",44,
"cigarette",44,
"repair",44,
"heat",44,
"wound",44,
"clip",44,
"thunderstorm",44,
"typical",44,
"speak",44,
"bulb",44,
"firework",44,
"reflections",44,
"reload",44,
"arcane",44,
"omnidirectional microphones",44,
"walnut",44,
"shutting",44,
"coiffeur",44,
"neighing",44,
"zaporozhets",44,
"wet and slimy",44,
"witch",44,
"snack",44,
"living",44,
"batteries",44,
"arrive",43,
"dried",43,
"wardrobe",43,
"grate",43,
"shifting",43,
"mode",43,
"mid resonance",43,
"shimmering",43,
"tub",43,
"upset",43,
"glasses",43,
"grid",43,
"releasing",43,
"epee",43,
"bowling",43,
"wine bottle",43,
"grazing",43,
"master",43,
"toyota",43,
"platform",43,
"avian",43,
"raptor",43,
"slaughter",43,
"metronome",42,
"vibrating",42,
"major",42,
"fine",42,
"once",42,
"striking",42,
"scratchy",42,
"mail",42,
"clapping",42,
"generic metal",42,
"short decay",42,
"grainy",42,
"demolish",42,
"cutting",42,
"locking",42,
"activate",42,
"strong resonance",42,
"strong single hit",42,
"gently",42,
"sergeant",42,
"instructor",42,
"thrust",42,
"soldier",42,
"juicy",42,
"3m distance",42,
"denim",42,
"duel",42,
"billiards",42,
"quack",42,
"cheer",42,
"pained",42,
"auditorium",42,
"swine",42,
"vw tiguan 2018",42,
"song sparrow",42,
"pillow",42,
"distant exterior perspective",42,
"scrolling",42,
"choose",42,
"sparkle",41,
"detailed",41,
"blop",41,
"ascending",41,
"jigsaw",41,
"woods",41,
"barrel",41,
"meteor",41,
"granular",41,
"dragging",41,
"horticulture",41,
"halt",41,
"clanging",41,
"splatter",41,
"noises",41,
"short tail",41,
"shore",41,
"movements",41,
"receiver",41,
"changer",41,
"instable",41,
"wring",41,
"plant",41,
"sleeve",41,
"pepper",41,
"wheeze",41,
"number",41,
"tires",41,
"eagle",41,
"sewing machine",41,
"rhythmically",41,
"pebble",41,
"chinook",41,
"upshifting",41,
"saab",41,
